xa,ya,za,row,pitch,yaw
1.70E-13,1.05E-13,-2.26E-13,1.77E-11,1.19E-12,-8.52E-14
7.28E-05,4.07E-05,-0.000205784,0.015211965,0.000974695,-8.74E-05
0.000225809,0.00012641,-0.000638533,0.047201686,0.003024412,-0.00027134
0.000425095,0.000237972,-0.001202064,0.088859066,0.005693577,-0.000510808
0.000691831,0.000387293,-0.001956327,0.144615814,0.009266148,-0.000831327
0.000942457,0.000559817,-0.003007375,0.416838767,0.026691144,-0.00240504
0.001171259,0.000755661,-0.004374288,0.926961365,0.059340098,-0.005356066
0.00143809,0.000993271,-0.006066302,1.584744114,0.101439153,-0.009161534
0.001723367,0.001271073,-0.008127782,2.450138127,0.156824538,-0.014168646
-0.003076086,-0.001150024,0.003155047,1.446230665,0.092203472,-0.008537567
-0.013480177,-0.006547672,0.029164991,-1.630913374,-0.105513977,0.008893453
-0.02711866,-0.013640799,0.06343677,-5.750854101,-0.370207111,0.032244817
-0.045477627,-0.023224932,0.109941464,-11.50414298,-0.739779189,0.064881802
-0.030206697,-0.014560392,0.078549573,-10.68447622,-0.685867195,0.060756743
0.022435522,0.014380741,-0.039502651,-2.504077783,-0.157743132,0.015452042
0.093065293,0.053125687,-0.198210315,8.634672228,0.561257898,-0.046281093
0.19251921,0.107538828,-0.422956196,25.00455983,1.617490312,-0.137186895
0.203253036,0.108124371,-0.468859853,14.94801782,0.973121375,-0.080533478
0.114078637,0.048226866,-0.312679943,-24.69693577,-1.575344028,0.141347307
-0.009730827,-0.034076513,-0.092992225,-77.01311713,-4.93885744,0.433970184
-0.200338003,-0.157902418,0.256773805,-150.8454507,-9.686741015,0.846715041
-0.303539762,-0.189658208,0.415629118,-173.6412236,-11.14794777,0.985942833
-0.303997329,-0.11611239,0.350667167,-138.3732279,-8.87000939,0.813586059
-0.303381454,-0.017399505,0.272704801,-87.25278248,-5.570406337,0.55996761
-0.261598251,0.142403257,0.097623274,-0.655662257,0.014344248,0.118846861
-0.188677114,0.150346588,0.05005372,41.47569368,2.784954542,-0.102506065
-0.090620517,-0.016888693,0.162812117,30.57807304,2.195073725,-0.05985409
0.071563263,-0.227591429,0.258448793,21.77755799,1.771669345,-0.039460306
0.297493011,-0.539634058,0.396607075,-5.675483918,0.192745044,0.063887744
