1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,
FC_ACC_X,FC_ACC_Y,FC_ACC_Z,FC_GYR_X,FC_GYR_Y,FC_GYR_Z,FC_MAG_X,FC_MAG_Y,FC_MAG_Z,FC_ALT_BAR,FC_ALT_FU,FC_ATT_ROL,FC_ATT_PIT,FC_ATT_YAW,FC_Votage,FC_SenserTMP,FC_CTRLOUT_PWM1,FC_CTRLOUT_PWM2,FC_CTRLOUT_PWM3,FC_CTRLOUT_PWM4,
126,140,943,-27,-8,-4,-382,-1584,-30,0,-0.800000011920929,2.70000004768372,5.63000011444092,54.3400001525879,0,0.349999994039536,0,0,0,0,
126,140,943,-27,-8,-4,-382,-1584,-30,0,-0.800000011920929,2.47000002861023,5.73999977111816,54.2400016784668,0,0.349999994039536,0,0,0,0,
126,140,943,-27,-8,-4,-382,-1584,-30,0,-0.800000011920929,2.47000002861023,5.73999977111816,54.2400016784668,0,0.349999994039536,0,0,0,0,
126,140,943,-27,-8,-4,-382,-1584,-30,0,-0.800000011920929,2.47000002861023,5.73999977111816,54.2400016784668,0,0.349999994039536,0,0,0,0,
134,137,947,-27,-7,-4,-382,-1584,-30,0,-0.800000011920929,2.47000002861023,5.73999977111816,54.2400016784668,0,0.349999994039536,0,0,0,0,
134,137,947,-27,-7,-4,-382,-1584,-30,0,-0.800000011920929,2.24000000953674,5.84000015258789,54.0699996948242,0,0.349999994039536,0,0,0,0,
135,115,953,-27,-6,-4,-382,-1584,-30,0,-0.800000011920929,2.24000000953674,5.84000015258789,54.0699996948242,0,0.349999994039536,0,0,0,0,
135,115,953,-27,-6,-4,-382,-1584,-30,0,-0.800000011920929,2.24000000953674,5.84000015258789,54.0699996948242,0,0.349999994039536,0,0,0,0,
135,115,953,-27,-6,-4,-382,-1584,-30,0,-0.800000011920929,2,5.92999982833862,53.810001373291,0,0.349999994039536,0,0,0,0,
147,89,958,-28,-5,-4,-382,-1584,-30,0,-0.800000011920929,2,5.92999982833862,53.810001373291,0,0.349999994039536,0,0,0,0,
147,89,958,-28,-5,-4,-382,-1584,-30,0,-0.800000011920929,1.77999997138977,5.98999977111816,53.8600006103516,0,0.349999994039536,0,0,0,0,
153,67,964,-28,-3,-5,-382,-1584,-30,0,-0.800000011920929,1.77999997138977,5.98999977111816,53.8600006103516,0,0.349999994039536,0,0,0,0,
153,67,964,-28,-3,-5,-382,-1584,-30,0,-0.800000011920929,1.77999997138977,5.98999977111816,53.8600006103516,0,0.349999994039536,0,0,0,0,
153,67,964,-28,-3,-5,-382,-1584,-30,0,-0.800000011920929,1.5,6.07000017166138,54.4700012207031,0,0.349999994039536,0,0,0,0,
155,54,975,-29,-2,-5,-382,-1584,-30,0,-0.800000011920929,1.5,6.07000017166138,54.4700012207031,0,0.349999994039536,0,0,0,0,
155,54,975,-29,-2,-5,-382,-1584,-30,0,-0.800000011920929,1.23000001907349,6.11999988555908,54.7400016784668,0,0.349999994039536,0,0,0,0,
155,54,975,-29,-2,-5,-382,-1584,-30,0,-0.810000002384186,1.23000001907349,6.11999988555908,54.7400016784668,0,0.349999994039536,0,0,0,0,
147,57,977,-29,0,-5,-382,-1584,-30,0,-0.810000002384186,1.23000001907349,6.11999988555908,54.7400016784668,0,0.349999994039536,0,0,0,0,
147,57,977,-29,0,-5,-382,-1584,-30,0,-0.810000002384186,1.23000001907349,6.11999988555908,54.7400016784668,0,0.349999994039536,0,0,0,0,
147,57,977,-29,0,-5,-382,-1584,-30,0,-0.810000002384186,0.990000009536743,6.15000009536743,54.75,0,0.349999994039536,0,0,0,0,
145,54,990,-29,0,-5,-382,-1584,-30,0,-0.810000002384186,0.990000009536743,6.15000009536743,54.75,0,0.349999994039536,0,0,0,0,
145,54,990,-29,0,-5,-382,-1584,-30,0,-0.810000002384186,0.689999997615814,6.17999982833862,54.6399993896484,0,0.349999994039536,0,0,0,0,
152,38,997,-29,2,-5,-382,-1584,-30,0,-0.810000002384186,0.689999997615814,6.17999982833862,54.6399993896484,0,0.349999994039536,0,0,0,0,
152,38,997,-29,2,-5,-382,-1584,-30,0,-0.810000002384186,0.689999997615814,6.17999982833862,54.6399993896484,0,0.349999994039536,0,0,0,0,
152,38,997,-29,2,-5,-382,-1584,-30,0,-0.810000002384186,0.409999996423721,6.19999980926514,54.4000015258789,0,0.349999994039536,0,0,0,0,
156,0,998,-28,3,-4,-382,-1584,-30,0,-0.810000002384186,0.409999996423721,6.19999980926514,54.4000015258789,0,0.349999994039536,0,0,0,0,
156,0,998,-28,3,-4,-382,-1584,-30,0,-0.810000002384186,0.129999995231628,6.19999980926514,54.4300003051758,0,0.349999994039536,0,0,0,0,
163,-23,1011,-28,5,-4,-382,-1584,-30,0,-0.810000002384186,0.129999995231628,6.19999980926514,54.4300003051758,0,0.349999994039536,0,0,0,0,
163,-23,1011,-28,5,-4,-384,-1585,-30,0,-0.810000002384186,0.129999995231628,6.19999980926514,54.4300003051758,0,0.349999994039536,0,0,0,0,
